task,feature_set,n_features,mean_r2,sd_r2,mean_rmse,sd_rmse,mean_mae,sd_mae,pooled_r2,pooled_rmse,pooled_mae,alpha_edge_hits,median_best_alpha,total_fit_minutes,rank_mean_r2
PTAL,All_representations_plus_SV_metadata,1732,0.6932125682481407,0.07708917538042535,5.7666317692107905,0.35472821740818455,3.7402392811080984,0.09727754962000139,0.7100402409096651,5.778732359154731,3.740484605318707,0,1000.0,6.479211501280466,1
PTAL,All_representations_without_SV_metadata,1728,0.6893166776602204,0.07797521399316823,5.803124465487225,0.34182897661995687,3.7912474411018615,0.10512560432778276,0.7064443666599399,5.814453812223716,3.7914236243724297,0,1000.0,4.9101659774780275,2
PTAL,Street_and_sky,1280,0.6727268210709678,0.07764176402966298,5.965732944842344,0.39753721803503456,3.888355069273037,0.10939243161319218,0.6894586910167861,5.980305981764949,3.8887340115570526,0,1000.0,3.037479833761851,3
PTAL,StreetView_CLIP_plus_metadata,516,0.6610763094948173,0.07810450391275704,6.078426946256715,0.509067690282237,3.811850713105342,0.1276344629179659,0.6769022958652137,6.10001146899349,3.8124363632615115,0,1000.0,1.3481993794441223,4
PTAL,Sky_and_space,960,0.647562081760402,0.08281541114056422,6.186902852608428,0.298921944587687,4.010682517249194,0.07382291925925466,0.6667599098420967,6.19501464224476,4.010503088454414,0,1000.0,2.1926169792811074,5
PTAL,AlphaEarth,64,0.6146550279718491,0.11611814324167058,6.425701368856261,0.1681030595455537,4.220229246633141,0.1608219939788369,0.6411884638292169,6.428311513657754,4.219388121064962,0,10.0,0.12681063810984294,6
PTAL,StreetView_CLIP_only,512,0.6128851032247036,0.10942212828248804,6.460508428885753,0.45346743813979384,4.280025456246813,0.1829322075811007,0.635676706780824,6.477496470872733,4.281162973915955,0,100.0,1.300833034515381,7
PTAL,Location_and_EO,448,0.6102412036987037,0.12762494194519242,6.442739149691238,0.11666957076696027,4.265190743689546,0.07046018019882298,0.639414412617978,6.444183484307888,4.2648060601694855,0,10.0,0.9578705549240112,8
PTAL,DINOv2,768,0.594719704457302,0.08075089119220213,6.658620148000905,0.4184061245199184,4.288939129290747,0.10032596275319944,0.6134444229359988,6.672209700791111,4.288977368381888,0,1000.0,1.6180818637212118,9
PTAL,PTAL_spatial_baseline,6,0.4014706393500459,0.0758046350541014,8.186692028135592,1.19082901672517,5.3431915115024875,0.8156948716743857,0.4074719960103722,8.260724832600172,5.3461178419723066,0,10.0,0.03889925479888916,10
PTAL,TESSERA,128,0.367101646755337,0.08632480156268679,8.36871621660012,0.7360850693680363,5.396771155087204,0.20331489355650648,0.387261954023156,8.400422687408298,5.398342882585739,0,100.0,0.19615531762441,11
PTAL,StreetView_metadata_only,4,0.25182710364505667,0.040828367763412254,9.183147317363554,1.3728825638245654,5.440154367307363,0.4130175366674702,0.25330491860112425,9.273322441183206,5.441723818799781,0,10.0,0.0414269765218099,12
PTAL,SatCLIP,256,0.18054855239663606,0.13015100893889714,9.595935334135396,1.612824509085273,6.385781782351943,1.079995449176155,0.1814928680319462,9.709010024916273,6.383305056616371,0,1000.0,0.4576006452242533,13
